idf_rank,term,idf,doc_freq,doc_freq%
529,barbecue_sauce,5.996746922719954,376,0.27
530,cornmeal,5.996746922719954,621,0.44
531,cream_of_chicken_soup,5.994630519813576,922,0.66
532,scallion,5.994630519813576,2733,1.96
533,salt cinnamon,5.991464290255526,326,0.23
534,olive_oil garlic_cloves,5.990411104270867,511,0.37
535,rolled_oats,5.988308054074088,921,0.66
536,baking_soda baking_powder,5.976819677067328,472,0.34
537,salt eggs,5.97267459341216,2589,1.85
538,dark_brown_sugar,5.9716410015888775,331,0.24
539,peanut_oil,5.970608476974688,383,0.27
540,egg milk,5.970608476974688,365,0.26
541,pine_nuts,5.968546620574129,5184,3.71
542,capers,5.966489006679449,450,0.32
543,egg_white,5.957281780510988,9354,6.7
544,eggs sugar,5.947149981580582,359,0.26
545,_zest_of,5.942122318903616,402,0.29
546,cooked_rice,5.9401183102169,375,0.27
547,ham,5.938118309550234,4209,3.01
548,lettuce,5.93114964023414,385,0.28
549,chives,5.924229197389566,411,0.29
550,cinnamon nutmeg,5.913450063134739,610,0.44
551,active_dry_yeast,5.907619142823946,512,0.37
552,molasses,5.904716383165985,1488,1.07
553,flour_tortillas,5.893188877994917,968,0.69
554,butter salt,5.891280480469157,528,0.38
555,avocado,5.887474576731479,438,0.31
556,green_chilies,5.870525018417705,364,0.26
557,onion celery,5.867727813796644,3328,2.38
558,celery_ribs,5.866797148303691,431,0.31
559,sugar butter,5.861231271226246,13634,9.76
560,fresh_rosemary,5.860306629459028,379,0.27
561,water salt,5.854776661449566,503,0.36
562,butter eggs,5.853857965932494,427,0.31
563,sweetened_condensed_milk,5.852940113642265,380,0.27
564,plain_yogurt,5.850191600688915,970,0.69
565,shrimp,5.850191600688915,447,0.32
566,fat_milk,5.844717134461833,923,0.66
567,hot_water,5.831160668378224,405,0.29
568,flour baking_soda,5.826682380553529,347,0.25
569,shallot,5.820446280165818,760,0.54
570,cocoa,5.816015612749333,1092,0.78
571,cabbage,5.815131830102326,645,0.46
572,lemon_zest,5.809845474179178,692,0.5
573,black_olives,5.807212739003378,614,0.44
574,whole_milk,5.806336698649498,929,0.67
575,sliced_mushrooms,5.79501746590956,4027,2.88
